,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,38309.127870082855,21238.7970379108,0.991741811007821,7.79724359512329,1.54932649923211,105.540290793286,114.156568952465,146.895742514814,21.1466960906982,71.8935775756836,164.885940551758,88.0,119.0,52.0,196.0,103.0,190.0,38309.0,105.540290793286,114.156568952465,146.895742514814
1,2,corticospinal_L,Left,18679.062347888947,12465.542162172,0.968024523180337,3.98635721206665,1.59734497315033,100.543123293538,111.52749076503,149.4711172975,25.882848739624,63.6864700317383,103.178283691406,88.0,117.0,65.0,165.0,96.0,190.0,37358.0,100.543123293538,111.52749076503,149.4711172975
2,3,inferior_fronto_occipital_L,Left,15117.050458431244,9558.86090967722,0.989553365046429,6.93639755249023,1.59445492639059,87.9710259972217,132.656744062975,126.34662962228,24.8608951568604,32.4875564575195,172.445053100586,69.0,107.0,53.0,194.0,93.0,150.0,45351.0,87.9710259972217,132.656744062975,126.34662962228
3,4,inferior_longitudinal_fasciculus_L,Left,12178.040648460388,6970.45799597861,0.992589775388802,8.22953605651855,1.89145216348597,81.416652980785,115.383396288389,106.308096567581,15.2041635513306,23.7396240234375,125.12321472168,62.0,113.0,57.0,164.0,89.0,127.0,48712.0,81.416652980785,115.383396288389,106.308096567581
4,5,superior_longitudinal_fasciculus_L,Left,9210.03074169159,5964.23589326811,0.963059818833224,3.71350240707397,1.53615567008841,73.1629750271444,112.500325732899,135.673724212812,18.5845947265625,43.4235687255859,69.0139389038086,57.0,88.0,89.0,138.0,109.0,165.0,46050.0,73.1629750271444,112.500325732899,135.673724212812
5,6,uncinate_L,Left,2634.008791923523,2780.85658829236,0.938163428596757,2.8885645866394,0.981589423503313,86.3473804100228,158.30106302202,119.293090356872,19.4779891967773,28.9876384735107,56.2634315490723,71.0,107.0,137.0,188.0,105.0,138.0,15804.0,86.3473804100228,158.30106302202,119.293090356872
6,7,corticospinal_R,Right,,,,,,,,,,,,,,,,,,,,,
7,8,inferior_fronto_occipital_R,Right,,,,,,,,,,,,,,,,,,,,,
8,9,inferior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
9,10,superior_longitudinal_fasciculus_R,Right,,,,,,,,,,,,,,,,,,,,,
10,11,uncinate_R,Right,,,,,,,,,,,,,,,,,,,,,
