,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,background,inner,,,,,,,,,,,,,,,,,,,,,
1,4,left lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
2,5,left inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
3,6,left cerebellem exterior,inner,,,,,,,,,,,,,,,,,,,,,
4,7,left cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
5,10,left thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
6,11,left caudate,inner,,,,,,,,,,,,,,,,,,,,,
7,12,left putamen,inner,,,,,,,,,,,,,,,,,,,,,
8,13,left pallidium,inner,,,,,,,,,,,,,,,,,,,,,
9,15,4th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
10,16,brain stem,inner,,,,,,,,,,,,,,,,,,,,,
11,17,left hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
12,18,left amygdala,inner,,,,,,,,,,,,,,,,,,,,,
13,24,CSF,inner,,,,,,,,,,,,,,,,,,,,,
14,25,left lesion,inner,,,,,,,,,,,,,,,,,,,,,
15,26,left accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
16,28,left ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
17,30,left vessel,inner,,,,,,,,,,,,,,,,,,,,,
18,43,right lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
19,44,right inferior lateral ventricle,inner,,,,,,,,,,,,,,,,,,,,,
20,45,right cerebellum exterior,inner,,,,,,,,,,,,,,,,,,,,,
21,46,right cerebellum white matter,inner,,,,,,,,,,,,,,,,,,,,,
22,49,right thalamus proper,inner,,,,,,,,,,,,,,,,,,,,,
23,50,right caudate,inner,,,,,,,,,,,,,,,,,,,,,
24,51,right putamen,inner,,,,,,,,,,,,,,,,,,,,,
25,52,right palladium,inner,,,,,,,,,,,,,,,,,,,,,
26,53,right hippocampus,inner,,,,,,,,,,,,,,,,,,,,,
27,54,right amygdala,inner,,,,,,,,,,,,,,,,,,,,,
28,57,right lesion,inner,,,,,,,,,,,,,,,,,,,,,
29,58,right accumbens area,inner,,,,,,,,,,,,,,,,,,,,,
30,60,right ventral DC,inner,,,,,,,,,,,,,,,,,,,,,
31,62,right vessel,inner,,,,,,,,,,,,,,,,,,,,,
32,72,5th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
33,85,optic chasm,inner,,,,,,,,,,,,,,,,,,,,,
34,91,left basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
35,92,right basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
36,630,cerebellar vermal lobules I-V,inner,,,,,,,,,,,,,,,,,,,,,
37,631,cerebellar vermal lobules VI-VII,inner,,,,,,,,,,,,,,,,,,,,,
38,632,cerebellar vermal lobules VIII-X,inner,,,,,,,,,,,,,,,,,,,,,
39,1002,left caudal anterior cingulate,outer,3937.0,2571.54822763149,0.940849780729259,2.95138502120972,1.50618367833615,80.5351790703581,133.065024130048,161.737617475235,12.8851871490479,18.2577838897705,38.0291481018066,73.0,87.0,116.0,149.0,150.0,173.0,3944874.0,80.5351790703581,133.065024130048,161.737617475235
40,1003,left caudal middle frontal,outer,8014.0,5513.91517299319,0.825526665849141,1.77190887928009,2.32145098559211,50.3144497130022,126.764537060145,169.962565510357,22.5192794799805,30.9414215087891,39.9021110534668,32.0,67.0,106.0,146.0,151.0,185.0,8038042.0,50.3144497130022,126.764537060145,169.962565510357
41,1005,left cuneus,outer,3228.0,3471.48450851231,0.829540982594502,1.79068398475647,2.20006589123862,70.0972738537794,53.9532218091698,126.421003717472,21.9739437103271,25.9955921173096,39.348388671875,55.0,82.0,37.0,72.0,104.0,138.0,3244140.0,70.0972738537794,53.9532218091698,126.421003717472
42,1006,left entorhinal,outer,3149.0,1861.17980266533,0.736010710656601,1.477170586586,0.693385107854219,60.9761829152112,127.869164814227,100.526833915529,15.7438097000122,22.7310390472412,23.2562923431396,47.0,71.0,114.0,139.0,92.0,112.0,3167894.0,60.9761829152112,127.869164814227,100.526833915529
43,1007,left fusiform,outer,10283.0,6098.64992024225,0.971954946187557,4.25229501724243,1.5965663584688,45.914810852864,92.951862296995,101.075756102305,15.5172739028931,25.1615428924561,65.9840240478516,29.0,60.0,61.0,128.0,89.0,112.0,10354981.0,45.914810852864,92.951862296995,101.075756102305
44,1008,left inferior parietal,outer,11708.0,8701.55622093835,0.857628970867973,1.94450771808624,2.15080335493422,34.4309873590707,64.3024427741715,137.127690468056,23.193510055542,39.5096244812012,45.0999603271484,17.0,56.0,44.0,84.0,113.0,161.0,11801664.0,34.4309873590707,64.3024427741715,137.127690468056
45,1009,left inferior temporal,outer,13243.0,7783.25435963298,0.984508871670657,5.70337533950806,1.16424041542796,33.8593219059126,113.177754285283,98.7311032243449,15.6679553985596,31.5572624206543,89.3602294921875,13.0,64.0,71.0,149.0,85.0,116.0,13362187.0,33.8593219059126,113.177754285283,98.7311032243449
46,1010,left isthmus cingulate,outer,1983.0,1755.8846399454,0.961744846488499,3.6503438949585,2.75672717769742,74.5859808371155,79.1921331316188,132.716591023701,13.953369140625,14.6632766723633,50.9345970153809,56.0,84.0,70.0,90.0,114.0,150.0,2002830.0,74.5859808371155,79.1921331316188,132.716591023701
47,1011,left lateral occipital,outer,10419.0,7711.0113028914,0.965390104387135,3.83420634269714,2.51452844190776,47.0071983875612,54.0271619157309,108.488434590652,17.0266208648682,33.3827629089355,65.283576965332,22.0,74.0,34.0,76.0,91.0,137.0,10533609.0,47.0071983875612,54.0271619157309,108.488434590652
48,1012,left lateral orbitofrontal,outer,7930.0,5930.95672927196,0.973207534832136,4.34917879104614,1.35323772534396,64.6518284993695,159.726229508197,125.4789407314,14.2921447753906,31.8419189453125,62.1590957641602,42.0,84.0,131.0,187.0,110.0,147.0,8025160.0,64.6518284993695,159.726229508197,125.4789407314
