,Label,Description,side,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,1,corpus_callosum,Both,39675.535557836294,21428.0662960122,0.988177113676148,6.52244901657104,1.68528271701103,129.997470737683,153.522457127302,225.422953906179,32.8824081420898,83.0250396728516,214.473831176758,109.0,161.0,55.0,251.0,176.0,281.0,88168.0,129.997470737683,153.522457127302,225.422953906179
1,2,corticospinal_L,Left,,,,,,,,,,,,,,,,,,,,,
2,3,inferior_fronto_occipital_L,Left,,,,,,,,,,,,,,,,,,,,,
3,4,inferior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
4,5,superior_longitudinal_fasciculus_L,Left,,,,,,,,,,,,,,,,,,,,,
5,6,uncinate_L,Left,,,,,,,,,,,,,,,,,,,,,
6,7,corticospinal_R,Right,22988.21266187355,12978.475871552,0.967483920396984,3.95362377166748,1.60520378328481,134.567094058921,144.931447587354,225.982284427914,32.4310913085938,83.1459732055664,128.220336914062,113.0,157.0,83.0,227.0,163.0,283.0,357595.0,134.567094058921,144.931447587354,225.982284427914
7,8,inferior_fronto_occipital_R,Right,11434.481427781284,9191.56421647951,0.988648207258063,6.65562438964844,1.64445463913421,150.451515151515,159.338606847698,196.244864226682,34.6917533874512,41.0964279174805,230.895278930664,120.0,170.0,55.0,246.0,176.0,241.0,203280.0,150.451515151515,159.338606847698,196.244864226682
8,9,inferior_longitudinal_fasciculus_R,Right,12642.279466040432,7639.4672669589,0.989680054015115,6.97862195968628,1.34999638049372,164.490816544458,130.676372179113,179.761550509005,23.9208545684814,30.2525081634521,166.934600830078,124.0,187.0,57.0,197.0,151.0,221.0,252846.0,164.490816544458,130.676372179113,179.761550509005
9,10,superior_longitudinal_fasciculus_R,Right,2893.4953003004193,2461.68278081455,0.987658786871201,6.38484191894531,1.61865581129575,169.246967340591,140.070451010886,218.310108864697,16.237720489502,57.1566276550293,103.675277709961,151.0,195.0,109.0,185.0,185.0,236.0,64300.0,169.246967340591,140.070451010886,218.310108864697
10,11,uncinate_R,Right,2848.495373390615,2615.42545792744,0.980451388092907,5.0822958946228,2.25999821092253,145.167298578199,197.749447077409,179.654976303318,17.16064453125,41.1753311157227,87.2154769897461,120.0,175.0,168.0,241.0,161.0,195.0,69630.0,145.167298578199,197.749447077409,179.654976303318
