,Unnamed: 0,Label,Description,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
0,0,0,background,,,,,,,,,,,,,,,,,,,,,
1,1,5,left aLEC,835.0,688.063598874264,0.978801170566682,4.88250780105591,1.08536379354726,86.9520958083832,113.862275449102,124.350898203593,5.39163970947266,13.2871599197388,26.3247241973877,76.0,95.0,100.0,124.0,119.0,131.0,4175.0,86.9520958083832,113.862275449102,124.350898203593
2,2,6,right aLEC,872.0,701.568245863191,0.982906505492553,5.43167114257812,1.85393402687717,134.720183486239,113.706422018349,127.206422018349,4.82709407806396,12.4971351623535,26.2191867828369,127.0,141.0,100.0,125.0,121.0,133.0,5232.0,134.720183486239,113.706422018349,127.206422018349
3,3,7,left pMEC,369.0,389.57147163876,0.983516650388413,5.53043556213379,1.12231710892556,88.9241192411924,105.485094850949,129.444444444444,3.78970313072205,9.01327514648438,20.9587097167969,82.0,95.0,97.0,117.0,125.0,135.0,2583.0,88.9241192411924,105.485094850949,129.444444444444
4,4,8,right pMEC,296.0,310.847008651064,0.970707828568195,4.16210556030273,1.95839630607398,132.408783783784,104.648648648649,132.233108108108,4.38645601272583,7.20226144790649,18.256893157959,128.0,140.0,95.0,116.0,127.0,137.0,2368.0,132.408783783784,104.648648648649,132.233108108108
5,5,9,left perirhinal,3637.0,1595.7881397081,0.925695671897905,2.64362072944641,1.55474961958321,75.0118229309871,111.321968655485,127.342315094858,10.8299522399902,19.0761642456055,28.6302852630615,67.0,83.0,95.0,126.0,116.0,139.0,32733.0,75.0118229309871,111.321968655485,127.342315094858
6,6,10,right perirhinal,2440.0,1270.82182527533,0.914977002970295,2.47827792167664,1.64388082180903,144.325819672131,109.876639344262,126.122950819672,11.8967342376709,13.553861618042,29.4834136962891,138.0,152.0,95.0,125.0,117.0,134.0,24400.0,144.325819672131,109.876639344262,126.122950819672
7,7,11,left parahippocampal,3227.0,1718.27250000996,0.909433276714023,2.40471410751343,2.40643855411482,80.9488689185002,89.6616052060738,134.789277967152,11.6656408309937,20.0860328674316,28.0525302886963,69.0,95.0,76.0,103.0,124.0,142.0,35497.0,80.9488689185002,89.6616052060738,134.789277967152
8,8,12,right parahippocampal,3226.0,1693.92503081406,0.930481664409677,2.72971606254578,0.950297124773407,139.635151890887,88.8183508989461,136.066026038438,10.6936159133911,20.3112735748291,29.1905345916748,127.0,151.0,75.0,103.0,126.0,144.0,38712.0,139.635151890887,88.8183508989461,136.066026038438
9,9,13,left DG/CA3,707.0,679.921843090431,0.981569856923563,5.23276138305664,1.09068897897396,81.7015558698727,103.721357850071,138.848656294201,5.66139459609985,15.061131477356,29.6247272491455,75.0,94.0,88.0,114.0,133.0,151.0,9191.0,81.7015558698727,103.721357850071,138.848656294201
10,10,14,right DG/CA3,753.0,698.161072396534,0.984434071388125,5.68976259231567,1.84179907325774,141.474103585657,103.013280212483,140.517928286853,5.21971321105957,14.8749675750732,29.6989288330078,129.0,147.0,87.0,114.0,134.0,150.0,10542.0,141.474103585657,103.013280212483,140.517928286853
11,11,15,left CA1,1883.0,1549.86563618562,0.98107709215768,5.16482210159302,1.36975940672346,82.5257567711099,105.725969198088,137.370154009559,8.90275382995605,21.9076328277588,45.9811401367188,72.0,97.0,87.0,119.0,126.0,151.0,28245.0,82.5257567711099,105.725969198088,137.370154009559
12,12,16,right CA1,1964.0,1632.76530689375,0.985941901408936,5.98485231399536,1.64548735536599,140.429735234216,105.575356415479,138.778513238289,7.87349271774292,23.6596012115479,47.1216926574707,126.0,150.0,85.0,121.0,129.0,152.0,31424.0,140.429735234216,105.575356415479,138.778513238289
13,13,17,left subiculum,812.0,793.37292168952,0.993088842136397,8.52042484283447,1.53193224325368,84.8633004926108,104.89039408867,134.565270935961,4.1787281036377,12.2152347564697,35.6045379638672,78.0,94.0,90.0,118.0,125.0,145.0,13804.0,84.8633004926108,104.89039408867,134.565270935961
14,14,18,right subiculum,871.0,828.72949097883,0.994419748454293,9.4790506362915,1.55214926707488,137.756601607348,105.164179104478,136.284730195178,3.87743949890137,12.5949592590332,36.7544441223145,130.0,145.0,89.0,120.0,128.0,146.0,15678.0,137.756601607348,105.164179104478,136.284730195178
